Year,Month,Day,Hour,Minute,Tamb,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,Pw,SnowDepth,Pressure,WindDir,WindVel,AlbedoDaily,Zenith
Year,Month,Day,Hour,Minute,[deg C],[degree],[%],[deg C],[W/m2],[W/m2],[W/m2],[W/m2],[cm],[cm],[mbar],[degree],[m/s],[],[degree]
2022,3,29,0,0,26.3,-18,23.4,21.7,0,0,0,0,4.77,0,1002.3,102,1.8,0.1,158
2022,3,29,1,0,26,-48,18.7,21.2,0,0,0,0,4.76,0,1002.1,96,1.7,0.1,151
2022,3,29,2,0,25.8,-64,17,21,0,0,0,0,4.73,0,1001.8,94,1.9,0.1,139
2022,3,29,3,0,25.5,-73,25.1,20.9,0,0,0,0,4.68,0,1001.6,95,2.3,0.1,125
2022,3,29,4,0,25.3,-80,55.2,20.9,0,0,0,0,4.62,0,1001.7,94,2.5,0.1,111
2022,3,29,5,0,25.2,-85,43.5,20.9,0,0,0,0,4.57,0,1002,87,2.5,0.1,97
2022,3,29,6,0,25.8,-89,24,20.8,54,45,7,61,4.53,0,1002.4,76,2.5,0.1,83
2022,3,29,7,0,27.3,-94,12.9,20.7,134,344,132,266,4.52,0,1002.8,67,2.4,0.1,69
2022,3,29,8,0,29.1,-100,0.4,20.5,101,744,435,536,4.52,0,1003,48,2.1,0.1,54
2022,3,29,9,0,30.7,-107,10.5,20.3,256,538,404,660,4.55,0,1002.6,7,2.1,0.1,40
2022,3,29,10,0,31.9,-121,2.3,20.2,167,784,697,865,4.6,0,1001.9,326,2.5,0.1,27
2022,3,29,11,0,32.5,-152,1.2,20.4,161,827,788,949,4.7,0,1001,293,3.5,0.1,17
2022,3,29,12,0,32,157,6.1,21.1,259,673,645,904,4.87,0,1000.2,277,5,0.1,17
2022,3,29,13,0,31.2,123,11.8,21.8,336,500,450,787,5.07,0,999.8,272,5.6,0.1,26
2022,3,29,14,0,30.6,108,20.7,22.1,370,286,228,598,5.26,0,999.7,268,5.1,0.1,39
2022,3,29,15,0,30,100,27.6,22.3,308,157,97,405,5.38,0,999.6,265,4.4,0.1,53
2022,3,29,16,0,29.4,95,53.3,22.5,149,0,0,149,5.4,0,999.8,266,3.5,0.1,67
2022,3,29,17,0,28.7,90,46.7,22.6,51,0,0,51,5.31,0,1000.2,283,2.1,0.1,81
2022,3,29,18,0,28.2,85,66.3,22.7,0,0,0,0,5.09,0,1000.7,333,1.2,0.1,95
2022,3,29,19,0,27.8,80,75.7,22.7,0,0,0,0,4.84,0,1001.3,35,0.7,0.1,110
2022,3,29,20,0,27.6,74,75.8,22.5,0,0,0,0,4.72,0,1002.1,115,0.7,0.1,124
2022,3,29,21,0,27.5,65,72.4,22.6,0,0,0,0,4.77,0,1002.7,156,1.2,0.1,137
2022,3,29,22,0,27.3,50,70,22.6,0,0,0,0,4.88,0,1002.9,163,1.7,0.1,149
2022,3,29,23,0,27.3,22,66.7,22.6,0,0,0,0,4.96,0,1002.7,163,1.8,0.1,158
